frame,gp,x,reward,total,looped,life
2872,0,594,-1.0,428.0,False,2
2876,0,594,0.0,428.0,False,2
2880,0,594,0.0,428.0,False,2
2884,0,594,0.0,428.0,False,2
2888,0,594,0.0,428.0,False,2
2892,0,594,-1.0,427.0,False,2
2896,0,594,0.0,427.0,False,2
2900,0,594,0.0,427.0,False,2
2904,0,594,0.0,427.0,False,2
2908,0,594,0.0,427.0,False,2
2912,0,594,-1.0,426.0,False,2
2916,0,594,0.0,426.0,False,2
2920,0,594,0.0,426.0,False,2
2924,0,594,0.0,426.0,False,2
2928,0,594,0.0,426.0,False,2
2932,0,594,-1.0,425.0,False,2
2936,0,594,0.0,425.0,False,2
2940,0,594,0.0,425.0,False,2
2944,0,594,0.0,425.0,False,2
2948,0,594,0.0,425.0,False,2
2952,0,594,-1.0,424.0,False,2
2956,0,593,0.0,424.0,False,2
2960,0,593,0.0,424.0,False,2
2964,0,592,0.0,424.0,False,2
2968,0,592,0.0,424.0,False,2
2972,0,591,-1.0,423.0,False,2
2976,0,591,0.0,423.0,False,2
2980,0,591,0.0,423.0,False,2
2984,0,591,0.0,423.0,False,2
2988,0,590,0.0,423.0,False,2
2992,0,590,-1.0,422.0,False,2
2996,0,590,0.0,422.0,False,2
3000,0,590,0.0,422.0,False,2
3004,0,590,0.0,422.0,False,2
3008,0,590,0.0,422.0,False,2
3012,0,590,-1.0,421.0,False,2
3016,0,590,0.0,421.0,False,2
3020,0,590,0.0,421.0,False,2
3024,0,590,0.0,421.0,False,2
3028,0,590,0.0,421.0,False,2
3032,0,591,-1.0,420.0,False,2
3036,0,591,0.0,420.0,False,2
3040,0,591,0.0,420.0,False,2
3044,0,591,0.0,420.0,False,2
3048,0,591,0.0,420.0,False,2
3052,0,591,-1.0,419.0,False,2
3056,0,591,0.0,419.0,False,2
3060,0,591,0.0,419.0,False,2
3064,0,591,0.0,419.0,False,2
3068,0,591,0.0,419.0,False,2
3072,0,591,-1.0,418.0,False,2
3076,0,591,0.0,418.0,False,2
3080,0,591,0.0,418.0,False,2
3084,0,591,0.0,418.0,False,2
3088,0,591,0.0,418.0,False,2
3092,0,591,-1.0,417.0,False,2
3096,0,591,0.0,417.0,False,2
3100,0,591,0.0,417.0,False,2
3104,0,591,0.0,417.0,False,2
3108,0,591,0.0,417.0,False,2
3112,0,591,-1.0,416.0,False,2
3116,0,591,0.0,416.0,False,2
3120,0,590,0.0,416.0,False,2
3124,0,590,0.0,416.0,False,2
3128,0,590,0.0,416.0,False,2
3132,0,590,-1.0,415.0,False,2
3136,0,589,0.0,415.0,False,2
3140,0,589,0.0,415.0,False,2
